"","X.1","X","Biome_type","Country","Site","Latitude","Longitude","Citation","Species","Species_Group","Time_period","Start_year","End_year","Start_cover","End_cover","Total_cover_change","Annual.rate","Method","Plot.ID","Continent","Trend","Biome_trend","tempc","precip","Absolute_change","lat_cat","long_cat","geo.coords"
"305",305,328,"Tundra","Iceland","THYKKVIBAER:VE82",63.97085,-21.16772,"Magnusson et al. 2005","Deciduous shrubs","Group",17,1998,2015,"3","12.7",9.7,0.570588235,"Ecological monitoring","t305","Europe","Increase","Tundra_increase",5.3,1344,0.570588235,60,-30,"_ 60 _ -30 _"
"306",306,329,"Tundra","Tibet","TIBET:SHRUB",37.6,101.3,"Site not in NCC table","Deciduous shrubs","Group",7,2001,2008,"30.5","45",14.5,2.071428571,"Ecological monitoring","t306","Asia","Increase","Tundra_increase",-0.4,377,2.071428571,30,100,"_ 30 _ 100 _"
"307",307,330,"Tundra","USA","TOOLIK:DRY",68.62,-149.61,"Wahren et al. 2005; Unpubl. Data","Deciduous shrubs","Group",13,1994,2007,"2.083333333","2.416666667",0.333333333,0.025641026,"Ecological monitoring","t307","North America","Increase","Tundra_increase",-10.2,249,0.025641026,60,-150,"_ 60 _ -150 _"
"308",308,331,"Tundra","USA","TOOLIK:IMNAVAIT",68.62,-149.28,"Elmendorf et al. 2012","Deciduous shrubs","Group",18,1989,2007,"2.04084507","2.632394366",0.591549296,0.03286385,"Ecological monitoring","t308","North America","Increase","Tundra_increase",-10.9,277,0.03286385,60,-150,"_ 60 _ -150 _"
"309",309,332,"Tundra","USA","TOOLIK:MOIST",68.62,-149.61,"Wahren et al. 2005; Unpubl. data","Deciduous shrubs","Group",14,1994,2008,"7.19047619","12.11111111",4.920634921,0.351473923,"Ecological monitoring","t309","North America","Increase","Tundra_increase",-10.2,249,0.351473923,60,-150,"_ 60 _ -150 _"
"310",310,333,"Tundra","USA","TOOLIK:TUSSOCKGRID",68.62,-149.61,"Elmendorf et al. 2012","Deciduous shrubs","Group",18,1990,2008,"1.079411765","2.2",1.120588235,0.062254902,"Ecological monitoring","t310","North America","Increase","Tundra_increase",-10.2,249,0.062254902,60,-150,"_ 60 _ -150 _"
"311",311,334,"Tundra","Canada","TORNGATS:NAKVAKDRY",58.63917,-63.375,"Bjorkman et al. 2018","Deciduous shrubs","Group",8,2007,2015,"11.60678211","17.875",6.268217893,0.783527237,"Ecological monitoring","t311","North America","Increase","Tundra_increase",-6.4,705,0.783527237,50,-70,"_ 50 _ -70 _"
"312",312,335,"Tundra","Canada","TORNGATS:NAKVAKWET",58.63917,-63.375,"Bjorkman et al. 2018","Deciduous shrubs","Group",8,2007,2015,"17.67977855","17.65517241",-0.024606141,-0.003075768,"Ecological monitoring","t312","North America","Stable","Tundra_stable",-6.4,705,0.003075768,50,-70,"_ 50 _ -70 _"
"313",313,336,"Tundra","Switzerland","VALBERCLA:ALPINE",46.4758,9.5842,"Gugerli 1997; Unpubl. data","Deciduous shrubs","Group",19,1994,2013,"3.296296296","8.822222222",5.525925926,0.290838207,"Ecological monitoring","t313","Europe","Increase","Tundra_increase",-0.9,1224,0.290838207,40,0,"_ 40 _ 0 _"
"314",314,337,"Savanna","South Africa","Eastern cape, Kei Road and Komga",-32.67,27.67,"O'Connor & Crow, 1999","Acacia karoo","Species",48,1938,1986,"17","35",18,0.375,"stratified sampling of aerial photos","s1","Africa","Increase","Savanna_increase",17.4,737,0.375,-40,20,"_ -40 _ 20 _"
"315",315,338,"Savanna","Swaziland","NE Swaziland lowveld",-26.27,31.9,"Roques, O' Connor et al, 2001","Dichrostachys cineria","Species",43,1947,1990,"2","31",29,0.674418605,"stratified sampling of aerial photos","s2","Africa","Increase","Savanna_increase",21.3,716,0.674418605,-30,30,"_ -30 _ 30 _"
"316",316,339,"Savanna","Swaziland","NE Swaziland lowveld",-26.27,31.9,"Roques, O' Connor et al, 2001","Dichrostachys cineria","Species",50,1947,1997,"2","42",40,0.8,"stratified sampling of aerial photos","s3","Africa","Increase","Savanna_increase",21.3,716,0.8,-30,30,"_ -30 _ 30 _"
"317",317,340,"Savanna","Swaziland","NE Swaziland lowveld",-26.27,31.9,"Roques, O' Connor et al, 2001","Dichrostachys cineria","Species",50,1947,1997,"2","25",23,0.46,"stratified sampling of aerial photos","s4","Africa","Increase","Savanna_increase",21.3,716,0.46,-30,30,"_ -30 _ 30 _"
"318",318,341,"Savanna","Swaziland","NE Swaziland lowveld",-26.27,31.9,"Roques, O' Connor et al, 2001","Dichrostachys cineria","Species",50,1947,1997,"2","19",17,0.34,"stratified sampling of aerial photos","s5","Africa","Increase","Savanna_increase",21.3,716,0.34,-30,30,"_ -30 _ 30 _"
"319",319,342,"Savanna","Swaziland","NE Swaziland lowveld",-26.27,31.9,"Roques, O' Connor et al, 2001","Dichrostachys cineria","Species",50,1947,1997,"2","19",17,0.34,"stratified sampling of aerial photos","s6","Africa","Increase","Savanna_increase",21.3,716,0.34,-30,30,"_ -30 _ 30 _"
"320",320,343,"Savanna","Swaziland","NE Swaziland lowveld",-26.27,31.9,"Roques, O' Connor et al, 2001","Dichrostachys cineria","Species",50,1947,1997,"2","3",1,0.02,"stratified sampling of aerial photos","s7","Africa","Increase","Savanna_increase",21.3,716,0.02,-30,30,"_ -30 _ 30 _"
"321",321,344,"Savanna","South Africa","Madikwe, NW south africa",-25,26.03,"Hudak, Wessman, 2001","trees and shrubs","Group",41,1955,1996,"18.4","24",5.6,0.136585366,"Textural analysis, aerial photos and spot","s8","Africa","Increase","Savanna_increase",19.7,494,0.136585366,-30,20,"_ -30 _ 20 _"
"322",322,345,"Savanna","Cameroon","Central Cameroon",6.02,12.81,"Mitchard et al, 2009","trees","Group",20,1986,2006,"not recorded","not reported",20.33,1.0165,"NDVI Landsat, envi","s9","Africa","Increase","Savanna_increase",23.2,1759,1.0165,0,10,"_ 0 _ 10 _"
"323",323,346,"Savanna","Cameroon","eastern cameroon",4.33,13.73,"Guillet et al, 2001","Albizia sp/albizia adinifolia (albizia patch coalescense initiates forest invasion)","Species",41,1952,1993,"not recorded","not reported",27,0.658536585,"Aerial photos (backed by species studies and isotopes). 27% (1.18 kM2) of the Kandara savanna area in 1951-
 1952 (4.39 kM2) was invaded by forest over a period of 41 y, between 1952 and
 199","s10","Africa","Increase","Savanna_increase",23.2,1421,0.658536585,0,10,"_ 0 _ 10 _"
"324",324,347,"Savanna","South Africa","Northern zululand, kwazulu natal",-28.04,32.04,"Wigley et al, 2010","tree/shrub","Group",67,1937,2004,"14","58",44,0.656716418,"aerial photographs","s11","Africa","Increase","Savanna_increase",20.7,764,0.656716418,-30,30,"_ -30 _ 30 _"
"325",325,348,"Savanna","South Africa","Northern zululand, kwazulu natal",-28.03,32.14,"Wigley et al, 2010","tree/shrub","Group",67,1937,2004,"6","25",19,0.28358209,"aerial photographs","s12","Africa","Increase","Savanna_increase",21,973,0.28358209,-30,30,"_ -30 _ 30 _"
"326",326,349,"Savanna","South Africa","Northern zululand, kwazulu natal",-28.02,32.21,"Wigley et al, 2010","tree/shrub","Group",67,1937,2004,"3","50",47,0.701492537,"aerial photographs","s13","Africa","Increase","Savanna_increase",21.8,892,0.701492537,-30,30,"_ -30 _ 30 _"
"327",327,350,"Savanna","Guinea","Comoe National Park",8.33,-3.25,"Goetze et al, 2006","Anogeissus leiocarpus","Species",42,1954,1996,"Not recorded","",-0.1,-0.002380952,"aerial photos / spot - % fores patch dissapearance or gain","s14","Africa","Stable","Savanna_stable",25.6,1158,0.002380952,0,-10,"_ 0 _ -10 _"
"328",328,351,"Savanna","Guinea","Comoe National Park",8.33,-3.25,"Goetze et al, 2006","Anogeissus leiocarpus","Species",42,1954,1996,"0.4","0.14",-26,-0.619047619,"aerial photos / spot - % fores patch dissapearance or gain","s15","Africa","Decrease","Savanna_decrease",25.6,1158,0.619047619,0,-10,"_ 0 _ -10 _"
"329",329,352,"Savanna","Zimbabwe","Mafungautsi Forest, ",-18.22,28.93,"Mapedza et al, 2002","trees","Group",20,1976,1996,"68","71",3,0.15,"aerial photos","s16","Africa","Increase","Savanna_increase",19.7,893,0.15,-20,20,"_ -20 _ 20 _"
"330",330,353,"Savanna","Zimbabwe","Mafungautsi Forest, ",-18.22,28.93,"Mapedza et al, 2002","trees","Group",20,1976,1996,"51","14",-37,-1.85,"aerial photos","s17","Africa","Decrease","Savanna_decrease",19.7,893,1.85,-20,20,"_ -20 _ 20 _"
"331",331,354,"Savanna","Ivory coast","",9.75,-5.96,"Basset, Zueli, 2000","Isoberlina doka, Pilostigma thonningii, Acacia sieberanna, Daniella oliveri","Group",33,1956,1989,"4","31",27,0.818181818,"aerial photos (textuaral analysis)","s18","Africa","Increase","Savanna_increase",26.5,1251,0.818181818,0,-10,"_ 0 _ -10 _"
"332",332,355,"Savanna","Ivory coast","",9.33,-5.67,"Basset, Zueli, 2000","Isoberlina doka, Pilostigma thonningii, Acacia sieberanna, Daniella oliveri","Group",37,1956,1993,"16","25",9,0.243243243,"aerial photos (textuaral analysis)","s19","Africa","Increase","Savanna_increase",26.5,1271,0.243243243,0,-10,"_ 0 _ -10 _"
"333",333,356,"Savanna","South Africa","Pniel Estates",-28.5,24.68,"Britz, Ward, 2007","Acacia melifera","Species",36,1957,1993,"31.12","40",8.88,0.246666667,"aerial photographs supervised classificiation","s20","Africa","Increase","Savanna_increase",18.5,383,0.246666667,-30,20,"_ -30 _ 20 _"
"334",334,357,"Savanna","South Africa","Pniel Estates",-28.5,24.68,"Britz, Ward, 2007","Acacia erioloba","Species",36,1957,1993,"3.5","7.25",3.75,0.104166667,"aerial photographs supervised classificiation","s21","Africa","Increase","Savanna_increase",18.5,383,0.104166667,-30,20,"_ -30 _ 20 _"
"335",335,358,"Savanna","South Africa","Pniel Estates",-28.5,24.68,"Britz, Ward, 2007","Grewia flava","Species",36,1957,1993,"23","27.2",4.2,0.116666667,"aerial photographs supervised classificiation","s22","Africa","Increase","Savanna_increase",18.5,383,0.116666667,-30,20,"_ -30 _ 20 _"
"336",336,359,"Savanna","","Magersfontein, Kimberly",-27.5,31.42,"Gordijn et al, 2012","Berchemia zeyheri, A.karoo, Euclea crispa, Combretum apiculatum","Group",64,1943,2007,"12","46",34,0.53125,"aerial photographs (textural analysis)","s23","Africa","Increase","Savanna_increase",16.7,842,0.53125,-30,30,"_ -30 _ 30 _"
"337",337,360,"Savanna","Zimbabwe","Sengwa Wildlife Research area",-28.23,18.12,"Mapuare, Campbell, 2002 ","trees","Group",38,1958,1996,"95.2","68.2",-27,-0.710526316,"aerial photos (dot grid method)","s24","Africa","Decrease","Savanna_decrease",19.9,85,0.710526316,-30,10,"_ -30 _ 10 _"
"338",338,361,"Savanna","Zimbabwe","Communal rangeland adjacent to Sengwa wildlife research area",-28.23,18.12,"Mapuare, Campbell, 2002 ","trees","Group",38,1958,1996,"97.6","75.3",-22.3,-0.586842105,"aerial photos (dot grid method)","s25","Africa","Decrease","Savanna_decrease",19.9,85,0.586842105,-30,10,"_ -30 _ 10 _"
"339",339,362,"Savanna","South Africa","Bathurst, E cape",-33.5,26.82,"Puttick et al, 2011","Acacia karoo","Species",62,1942,2004,"40","55",15,0.241935484,"aerial photos (grid overay 30x30m)","s26","Africa","Increase","Savanna_increase",18.4,751,0.241935484,-40,20,"_ -40 _ 20 _"
"340",340,363,"Savanna","South Africa","Potshini village, KZN",-28.81,29.36,"Grellier et al, 2012","Acacia sieberianna","Species",64,1945,2009,"0.5","9.5",9,0.140625,"aerial photos","s27","Africa","Increase","Savanna_increase",16,1167,0.140625,-30,20,"_ -30 _ 20 _"
"341",341,364,"Savanna","Tanzania","Lake Manyara National Park",-3.5,35.75,"Prins & van der Jeugd, 1993","Acacia tortilis","Species",6,1985,1991,"24.9","45.6",20.7,3.45,"aerial photos","s28","Africa","Increase","Savanna_increase",21.9,1128,3.45,-10,30,"_ -10 _ 30 _"
"342",342,365,"Savanna","Tanzania","Lake Manyara National Park",-3.5,35.75,"Prins & van der Jeugd, 1993","Caparais tormentosa","Species",6,1985,1991,"53","64",11,1.833333333,"aerial photos","s29","Africa","Increase","Savanna_increase",21.9,1128,1.833333333,-10,30,"_ -10 _ 30 _"
"343",343,366,"Savanna","Tanzania","Lake Manyara National Park",-3.5,35.75,"Prins & van der Jeugd, 1993","Croton macrostachys - Acacia albida","Species",6,1985,1991,"35.1","40.1",5,0.833333333,"aerial photos","s30","Africa","Increase","Savanna_increase",21.9,1128,0.833333333,-10,30,"_ -10 _ 30 _"
"344",344,367,"Savanna","Tanzania","Lake Manyara National Park",-3.5,35.75,"Prins & van der Jeugd, 1993","Cordi africana","Species",6,1985,1991,"56.4","57.4",1,0.166666667,"aerial photos","s31","Africa","Increase","Savanna_increase",21.9,1128,0.166666667,-10,30,"_ -10 _ 30 _"
"345",345,368,"Savanna","Tanzania","Lake Manyara National Park",-3.5,35.75,"Prins & van der Jeugd, 1993","Phoenix reclinata","Species",6,1985,1991,"27.8","32",4.2,0.7,"aerial photos","s32","Africa","Increase","Savanna_increase",21.9,1128,0.7,-10,30,"_ -10 _ 30 _"
"346",346,369,"Savanna","South Africa","Weenen and muden areas of Kzn",-28.87,30.25,"Hoffman & O Connor, 2009","Acacia tortilis (lower altitutdes), A karoo (eleva above 1000m)","Species",43,1955,1998,"21","59",38,0.88372093,"fixed point photos","s33","Africa","Increase","Savanna_increase",16.2,865,0.88372093,-30,30,"_ -30 _ 30 _"
"347",347,370,"Savanna","South Africa","Paardenberg, N Cape",-28.98,25.09,"Ward & Hoffmann, 2014","Acacia tortilis, Acacia erioloba","Species",110,1900,2010,"1","50",49,0.445454545,"fixed point photos","s34","Africa","Increase","Savanna_increase",18,391,0.445454545,-30,20,"_ -30 _ 20 _"
"348",348,371,"Savanna","South Africa","Belmont , N Cape ",-29.42,24.37,"Ward & Hoffmann, 2014","Acacia tortilis and Pentzi incana","Species",111,1899,2010,"5","20",15,0.135135135,"fixed point photos","s35","Africa","Increase","Savanna_increase",17.6,363,0.135135135,-30,20,"_ -30 _ 20 _"
"349",349,372,"Savanna","South Africa","Carters Ridge Memorial ",-28.98,25.09,"Ward & Hoffmann, 2014","A tortilis","Species",91,1919,2010,"15","10",-5,-0.054945055,"fixed point photos","s36","Africa","Decrease","Savanna_decrease",18,391,0.054945055,-30,20,"_ -30 _ 20 _"
"350",350,373,"Savanna","South Africa","Schmidtsdrify Road",-28.69,24.63,"Ward & Hoffmann, 2014","Acacia tortilis","Species",21,1989,2010,"1.8","0.5",-1.3,-0.061904762,"fixed point photos","s37","Africa","Decrease","Savanna_decrease",18.2,471,0.061904762,-30,20,"_ -30 _ 20 _"
"351",351,374,"Savanna","South Africa","Fugitives Drift 35 km SE Dundee",-28.23,30.36,"Russel  Ward, 2014","Acacia karoo,","Species",61,1944,2005,"38","74",36,0.590163934,"aerial photo","s38","Africa","Increase","Savanna_increase",15.2,920,0.590163934,-30,30,"_ -30 _ 30 _"
"352",352,375,"Savanna","South Africa","Islandwana",-28.21,30.39,"Russel  Ward, 2014","Acacia sp","Species",61,1944,2005,"0","2",2,0.032786885,"aerial photo","s39","Africa","Increase","Savanna_increase",15.5,894,0.032786885,-30,30,"_ -30 _ 30 _"
"353",353,376,"Savanna","South Africa","KZN Highland thornveld",-28.21,30.32,"Russel  Ward, 2014","Euclea crispa, A. sieberana","Species",61,1944,2005,"4","20",16,0.262295082,"aerial photo","s40","Africa","Increase","Savanna_increase",16,775,0.262295082,-30,30,"_ -30 _ 30 _"
"354",354,377,"Savanna","South Africa","KZN Highland thornveld",-28.21,30.32,"Russel  Ward, 2014","Acacia sp","Species",61,1944,2005,"0","9",9,0.147540984,"aerial photo","s41","Africa","Increase","Savanna_increase",16,775,0.147540984,-30,30,"_ -30 _ 30 _"
"355",355,378,"Savanna","South Africa","KZN Highland thornveld",-28.1,30.24,"RusseL, Ward 2014b","Acacia karoo, Diospyrus spp, Euclea crispa, Vitex rehmannii, Acacia sieberanna","Group",132,1879,2011,"6","36.5",30.5,0.231060606,"fixed point photos","s42","Africa","Increase","Savanna_increase",16.1,902,0.231060606,-30,30,"_ -30 _ 30 _"
"356",356,379,"Savanna","Botswana","Chobe National Park",-18.8,24.36,"Mosulgelo et al 2002","woodland vegetation","Group",36,1962,1998,"60","30",-30,-0.833333333,"aerial photo","s43","Africa","Decrease","Savanna_decrease",22.9,510,0.833333333,-20,20,"_ -20 _ 20 _"
"357",357,380,"Savanna","Botswana","Chobe National Park",-18.8,24.36,"Mosulgelo et al 2002","shrubland vegetation","Group",36,1962,1998,"5","33",28,0.777777778,"aerial photo","s44","Africa","Increase","Savanna_increase",22.9,510,0.777777778,-20,20,"_ -20 _ 20 _"
"358",358,381,"Savanna","Tanzania","Taragire National Park",-4,36.42,"Van der Vijver  et al, 1999","trees and shrubs","Group",25,1971,1996,"24","10",-14,-0.56,"PCQ ","s45","Africa","Decrease","Savanna_decrease",20.2,970,0.56,-10,30,"_ -10 _ 30 _"
"359",359,382,"Savanna","Tanzania","Taragire National Park",-4,36.42,"Van der Vijver  et al, 1999","trrees and shrubs","Group",25,1971,1996,"17","12",-5,-0.2,"PCQ ","s46","Africa","Decrease","Savanna_decrease",20.2,970,0.2,-10,30,"_ -10 _ 30 _"
"360",360,383,"Savanna","Zimbabwe","Gonarezhou National Park",-21.75,33.38,"Tafengenyasha","Androstachys jonsonii, C.mopane","Species",14,1970,1984,"not recorded","not recorded",-16,-1.142857143,"Fixed point","s47","Africa","Decrease","Savanna_decrease",24.3,609,1.142857143,-30,30,"_ -30 _ 30 _"
"361",361,384,"Savanna","namibia","Nama karoo ",-24,18,"Rohde, Hoffman 2012","Acacia melifera","Species",133,1876,2009,"14.7","20.29",5.59,0.042,"Fixed point","s48","Africa","Increase","Savanna_increase",21.4,232,0.042,-30,10,"_ -30 _ 10 _"
"362",362,385,"Savanna","namibia","Nama karoo ",-22,17,"Rohde, Hoffman 2012","Acacia erubescens, A. tortilis, Dichrostachys cineria","Group",133,1876,2009,"8.9","23.14",14.24,0.107067669,"fixed point","s49","Africa","Increase","Savanna_increase",20.3,321,0.107067669,-30,10,"_ -30 _ 10 _"
"363",363,386,"Savanna","South Africa","Fort Beaufort",-32.77,26.63,"Puttick et al, 2014a","Acacia karoo","Species",55,1949,2004,"not recorded","not recorded",5,0.090909091,"aerial photos (grid overay 30x30m)","s50","Africa","Increase","Savanna_increase",18.5,473,0.090909091,-40,20,"_ -40 _ 20 _"
"364",364,387,"Savanna","South Africa","Fort Beaufort",-32.77,26.63,"Puttick et al, 2014a","closed woodland","Group",55,1949,2004,"not recorded","not recorded",36,0.654545455,"aerial photos (grid overay 30x30m)","s51","Africa","Increase","Savanna_increase",18.5,473,0.654545455,-40,20,"_ -40 _ 20 _"
"365",365,388,"Savanna","South Africa","Grahamstown",-33.3,26.54,"Puttick et al 2014b","Acacia karoo","Species",62,1942,2004,"7.93","9.45",1.51,0.024428674,"aerial photos (grid overay 30x30m)","s52","Africa","Increase","Savanna_increase",16.8,651,0.024428674,-40,20,"_ -40 _ 20 _"
"366",366,389,"Savanna","South Africa","Venetia Limpopo Nature Reserve",-22.38,29.3,"O'Connor 2001","Acacia tortilis","Species",32,1955,1987,"8","37",29,0.90625,"aerial photos","s53","Africa","Increase","Savanna_increase",22.4,292,0.90625,-30,20,"_ -30 _ 20 _"
"367",367,390,"Savanna","South Africa","Peddie District, Eastern cape",-33.12,27.2,"Kakembo, 1999","Acacia karoo","Species",50,1938,1988,"47","64",17,0.34,"erial photos","s54","Africa","Increase","Savanna_increase",18.4,617,0.34,-40,20,"_ -40 _ 20 _"
"368",368,391,"Savanna","South Africa","Kruger National Park",-24.59,31.83,"Eckhardt et al, 2000","Combretum apiculatum, Terminalia sericea","Species",58,1940,1998,"19.7","22.1",2.4,0.04137931,"aerial photographs","s55","Africa","Increase","Savanna_increase",22.2,624,0.04137931,-30,30,"_ -30 _ 30 _"
"369",369,392,"Savanna","South Africa","Kruger National Park",-24.59,31.83,"Eckhardt et al, 2000","Acacia nigrescens, Sclerocarya birrea","Species",58,1940,1998,"11.9","4.3",-7.6,-0.131034483,"aerial photographs","s56","Africa","Decrease","Savanna_decrease",22.2,624,0.131034483,-30,30,"_ -30 _ 30 _"
"370",370,393,"Savanna","South Africa","Kruger National Park",-22.99,31.28,"Levick, Rogers, 2011","Colophospermum mopane and Combretum apiculatum","Species",59,1942,2001,"27","32",5,0.084745763,"aerial photographs","s57","Africa","Increase","Savanna_increase",23,442,0.084745763,-30,30,"_ -30 _ 30 _"
"371",371,394,"Savanna","South Africa","Kruger National Park",-23.12,31.46,"Levick, Rogers, 2011","Colophospermum mopane","Species",59,1942,2001,"26","33",7,0.118644068,"aerial photographs","s58","Africa","Increase","Savanna_increase",23.1,397,0.118644068,-30,30,"_ -30 _ 30 _"
"372",372,395,"Savanna","Brazil","Corumbataí, SP",-22.25,-47,"Pinheiro 2006","Daphnopsis fasciculata, Amaioua guianensis, Copaifera langsdorffii, Pera glabrata, Siparuna guianensis, Miconia chartacea, Ocotea pulchella, Virola sebifera","Group",43,1962,2005,"11","92",81,1.88372093,"aerial photos and remote sensing","s59","South America","Increase","Savanna_increase",21.8,1417,1.88372093,-30,-50,"_ -30 _ -50 _"
"373",373,396,"Savanna","Brazil","Assis, SP",-22.58,-50.42,"Durigan et al 1987","Copaifera langsdorffii, Machaerium acutifolium, Ocotea corymbosa, Vochysia tucanorum, Leptolobium elegans, Pera glabrata, Anadenanthera falcata","Group",22,1962,1984,"12","41.4",29.4,1.336363636,"aerial photos and remote sensing","s60","South America","Increase","Savanna_increase",22.1,1300,1.336363636,-30,-60,"_ -30 _ -60 _"
"374",374,397,"Savanna","Brazil","Assis, SP",-22.58,-50.42,"Durigan 2006","Copaifera langsdorffii, Machaerium acutifolium, Ocotea corymbosa, Vochysia tucanorum, Leptolobium elegans, Pera glabrata, Anadenanthera falcata","Group",41,1962,2003,"12","86",74,1.804878049,"aerial photos and remote sensing","s61","South America","Increase","Savanna_increase",22.1,1300,1.804878049,-30,-60,"_ -30 _ -60 _"
"375",375,398,"Savanna","Brazil","Assis, SP",-22.58,-50.38,"Pinheiro e Durigan 2009","Copaifera langsdorffii,  Protium heptaphyllum, Ocotea corymbosa, Pera glabrata, faramea montevidensis","Group",44,1962,2006,"53","91",38,0.863636364,"aerial photos and remote sensing","s62","South America","Increase","Savanna_increase",21.9,1582,0.863636364,-30,-60,"_ -30 _ -60 _"
"376",376,399,"Savanna","Brazil","Uberlândia, MG",-19.16,-48.4,"Cardoso et al 2009","trees/shrubs","Group",18,1987,2005,"9.5","15.7",6.2,0.344444444,"aerial photos and remote sensing","s63","South America","Increase","Savanna_increase",22.5,1463,0.344444444,-20,-50,"_ -20 _ -50 _"
"377",377,400,"Savanna","Brazil","Faz Água Limpa, DF",-15.95,-47.93,"Rezende 2002","Kielmeyera coriaceae, Qualea parviflora, Roupala montana, Rourea induta, Erythroxyllum suberosum, Dalbergia miscolobium","Group",5,1995,2000,"0","11",11,2.2,"stem mesurement","s64","South America","Increase","Savanna_increase",21.5,1520,2.2,-20,-50,"_ -20 _ -50 _"
"378",378,401,"Savanna","Brazil","Faz Água Limpa, DF,  and Alto Paraíso, GO",-15.91,-47.9,"Eugenio 2011","Handroanthus ochraceus, Myrcia cf tomentosa, Psidium australe, Roupala montana, Stryphnodendron adstringens, Miconia albicans","Group",9,2000,2009,"1.58","2.51",0.93,0.103333333,"line interception","s65","South America","Increase","Savanna_increase",21.6,1381,0.103333333,-20,-50,"_ -20 _ -50 _"
"379",379,402,"Savanna","Faz Água Limpa, DF","Brazil",-15.57,-47.93,"Almeida 2013","Acinodendron pohlianum, Kielmeyera coriacea, Schefflera macrocarpa, Myrsine guianensis, Vochysia thyrsoidea","Group",27,1985,2012,"54","61",7,0.259259259,"stem measurement","s66","South America","Increase","Savanna_increase",22.8,1335,0.259259259,-20,-50,"_ -20 _ -50 _"
"380",380,403,"Savanna","Brazil","Uberlândia, MG",-19.1,-48.38,"Lopes e Schiavini 2007","Tapirira guianensis, Callophyllum brasiliense, Protium heptaphyllum, Faramea hyacinthina","Group",13,1989,2002,"97","97",0,0,"stem measurement","s67","South America","Stable","Savanna_stable",22.5,1407,0,-20,-50,"_ -20 _ -50 _"
"381",381,404,"Savanna","Brazil","Brasília, DF",-15.57,-47.88,"Souza 2010","Sclerolobium paniculatum, Blepharocalyx salicifolius, Miconia pohliana,
Miconia albicans, Roupala montana, Myrsine guianensis","Group",18,1991,2009,"52","65",13,0.722222222,"stem measurement","s68","South America","Increase","Savanna_increase",22.8,1565,0.722222222,-20,-50,"_ -20 _ -50 _"
"382",382,405,"Savanna","Brazil","Nova Xavantina, MT",-14.7,-52.35,"Mews et al 2011","Roupala montana, Aspidosperma tomentosum, Emmotum nitens, Cybianthus detergens, Cordiera sessilis, Odontadenia lutea, Byrsonima verbascifolia, Erythroxylum engleri e Erythroxylum testaceum","Group",4,2002,2006,"70","74",4,1,"stem measurement","s69","South America","Increase","Savanna_increase",25.9,1666,1,-20,-60,"_ -20 _ -60 _"
"383",383,406,"Savanna","Brazil","Correntina, BA",-13.66,-45.58,"Roitman et al 2008","Qualea grandiflora, Sclerolobium paniculatum, Kielmeyera coriacea, Byrsonima crassa; Neea theifera, Eremanthus glomeratus, Couepia grandiflora, and Miconia albicans Triana.","Group",13,1991,2004,"57","61",4,0.307692308,"stem measurement","s70","South America","Increase","Savanna_increase",23.5,1018,0.307692308,-20,-50,"_ -20 _ -50 _"
"384",384,407,"Savanna","Brazil","Balsas, MA",-8.48,-46.87,"Aquino et al 2007","Sclerolobium paniculatum, Byrsonima coccolobifolia","Group",7,1995,2002,"49","51",2,0.285714286,"stem measurement","s71","South America","Increase","Savanna_increase",26.4,1062,0.285714286,-10,-50,"_ -10 _ -50 _"
"385",385,408,"Savanna","Brazil","Balsas, MA",-8.48,-46.87,"Aquino et al 2007","Byrsonima coccolobifolia, Vochysia rufa, Qualea parviflora, Davilla elliptica, Byrsonima crassa, ","Group",7,1995,2002,"43","50",7,1,"stem measurement","s72","South America","Increase","Savanna_increase",26.4,1062,1,-10,-50,"_ -10 _ -50 _"
"386",386,409,"Savanna","Brazil","Assis, SP",-22.58,-50.38,"Durigan 2014, unpublished data","Rapanea umbellata, Nectandra cuspidata,  Myrcia fallax, Siparuna guianensis","Group",5,2006,2011,"76","78",2,0.4,"stem measurement","s73","South America","Increase","Savanna_increase",21.9,1582,0.4,-30,-60,"_ -30 _ -60 _"
"387",387,410,"Savanna","Brazil","Assis, SP",-22.58,-50.4,"Durigan 2014, unpublished data","Stryphnodendron rotundifolium","Species",7,2005,2012,"22","34",12,1.714285714,"canopy diameter and stem measurement","s74","South America","Increase","Savanna_increase",21.8,1537,1.714285714,-30,-60,"_ -30 _ -60 _"
"388",388,411,"Savanna","Brazil","Assis, SP",-22.58,-50.4,"Durigan 2014, unpublished data","Anadenanthera peregrina var falcata","Species",7,2005,2012,"19","39",20,2.857142857,"canopy diameter and stem measurement","s75","South America","Increase","Savanna_increase",21.8,1537,2.857142857,-30,-60,"_ -30 _ -60 _"
"389",389,412,"Savanna","Brazil","Assis, SP",-22.58,-50.36,"Giampietro 2005","Matayba elaeagnoides. Machaerium brasiliense, Myrcia multiflora ","Group",12,1992,2004,"92","94",2,0.166666667,"stem measurement","s76","South America","Increase","Savanna_increase",22.1,1410,0.166666667,-30,-60,"_ -30 _ -60 _"
"390",390,413,"Savanna","Brazil","Nova Xavantina, MT",-14.54,-52.44,"Lima et al 2009","trees","Group",5,1997,2002,"58","57",-1,-0.2,"stem measurement","s77","South America","Decrease","Savanna_decrease",25.4,1688,0.2,-20,-60,"_ -20 _ -60 _"
