Number,Citation,Country,Site,Continent,Vegetation.Description,Biome,Biome_type,Area.Sampled.km2,Method,Start_cover,End_cover,Total_cover_change,Start_year,End_year,Time_period,Annual.rate,Landuse,Species,Woody.functional.type,Species_Group,Latitude,Longitude,Rainfall,Temp,Causes,Drivers,Notes,MGC questions
137,Banfai and Bowman 2006,Australia,KNP 10,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,5,1964,2004,40,0.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.34,132.13,,,,Fire suppression,,
137,Banfai and Bowman 2006,Australia,KNP 10,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,5,1964,2004,40,0.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.34,132.13,,,,Elevated CO2,,
138,Banfai and Bowman 2006,Australia,KNP 11,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,28,1964,2004,40,0.7,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.33,132.18,,,,Increased rainfall,,
138,Banfai and Bowman 2006,Australia,KNP 11,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,28,1964,2004,40,0.7,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.33,132.18,,,,Fire suppression,,
138,Banfai and Bowman 2006,Australia,KNP 11,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,28,1964,2004,40,0.7,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.33,132.18,,,,Elevated CO2,,
139,Banfai and Bowman 2006,Australia,KNP 12,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,11,1964,2004,40,0.275,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.53,131.99,,,,Increased rainfall,,
139,Banfai and Bowman 2006,Australia,KNP 12,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,11,1964,2004,40,0.275,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.53,131.99,,,,Fire suppression,,
139,Banfai and Bowman 2006,Australia,KNP 12,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,11,1964,2004,40,0.275,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.53,131.99,,,,Elevated CO2,,
140,Banfai and Bowman 2006,Australia,KNP 13,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.6,131.96,,,,Increased rainfall,,
140,Banfai and Bowman 2006,Australia,KNP 13,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.6,131.96,,,,Fire suppression,,
140,Banfai and Bowman 2006,Australia,KNP 13,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.6,131.96,,,,Elevated CO2,,
141,Banfai and Bowman 2006,Australia,KNP 14,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,15,1964,2004,40,0.375,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.15,132.63,,,,Increased rainfall,,
141,Banfai and Bowman 2006,Australia,KNP 14,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,15,1964,2004,40,0.375,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.15,132.63,,,,Fire suppression,,
141,Banfai and Bowman 2006,Australia,KNP 14,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,15,1964,2004,40,0.375,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.15,132.63,,,,Elevated CO2,,
142,Banfai and Bowman 2006,Australia,KNP 15,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-1,1964,2004,40,-0.025,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.16,132.66,,,,Increased rainfall,,
142,Banfai and Bowman 2006,Australia,KNP 15,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-1,1964,2004,40,-0.025,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.16,132.66,,,,Fire suppression,,
142,Banfai and Bowman 2006,Australia,KNP 15,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-1,1964,2004,40,-0.025,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.16,132.66,,,,Elevated CO2,,
143,Banfai and Bowman 2006,Australia,KNP 16,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,5,1964,2004,40,0.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.22,132.61,,,,Increased rainfall,,
143,Banfai and Bowman 2006,Australia,KNP 16,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,5,1964,2004,40,0.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.22,132.61,,,,Fire suppression,,
143,Banfai and Bowman 2006,Australia,KNP 16,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,5,1964,2004,40,0.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.22,132.61,,,,Elevated CO2,,
144,Banfai and Bowman 2006,Australia,KNP 17,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,25,1964,2004,40,0.625,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.22,132.71,,,,Increased rainfall,,
144,Banfai and Bowman 2006,Australia,KNP 17,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,25,1964,2004,40,0.625,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.22,132.71,,,,Fire suppression,,
144,Banfai and Bowman 2006,Australia,KNP 17,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,25,1964,2004,40,0.625,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.22,132.71,,,,Elevated CO2,,
145,Banfai and Bowman 2006,Australia,KNP 18,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,11,1964,2004,40,0.275,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.28,132.6,,,,Increased rainfall,,
145,Banfai and Bowman 2006,Australia,KNP 18,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,11,1964,2004,40,0.275,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.28,132.6,,,,Fire suppression,,
145,Banfai and Bowman 2006,Australia,KNP 18,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,11,1964,2004,40,0.275,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.28,132.6,,,,Elevated CO2,,
146,Banfai and Bowman 2006,Australia,KNP 19,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,24,1964,2004,40,0.6,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.29,132.86,,,,Increased rainfall,,
146,Banfai and Bowman 2006,Australia,KNP 19,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,24,1964,2004,40,0.6,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.29,132.86,,,,Fire suppression,,
146,Banfai and Bowman 2006,Australia,KNP 19,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,24,1964,2004,40,0.6,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.29,132.86,,,,Elevated CO2,,
147,Banfai and Bowman 2006,Australia,KNP 20,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,10,1964,2004,40,0.25,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.3,132.93,,,,Increased rainfall,,
147,Banfai and Bowman 2006,Australia,KNP 20,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,10,1964,2004,40,0.25,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.3,132.93,,,,Fire suppression,,
147,Banfai and Bowman 2006,Australia,KNP 20,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,10,1964,2004,40,0.25,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.3,132.93,,,,Elevated CO2,,
148,Banfai and Bowman 2006,Australia,KNP 21,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,62,1964,2004,40,1.55,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.37,132.86,,,,Increased rainfall,,
148,Banfai and Bowman 2006,Australia,KNP 21,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,62,1964,2004,40,1.55,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.37,132.86,,,,Fire suppression,,
148,Banfai and Bowman 2006,Australia,KNP 21,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,62,1964,2004,40,1.55,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.37,132.86,,,,Elevated CO2,,
149,Banfai and Bowman 2006,Australia,KNP 22,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-22,1964,2004,40,-0.55,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.4,132.85,,,,Increased rainfall,,
149,Banfai and Bowman 2006,Australia,KNP 22,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-22,1964,2004,40,-0.55,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.4,132.85,,,,Fire suppression,,
149,Banfai and Bowman 2006,Australia,KNP 22,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-22,1964,2004,40,-0.55,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.4,132.85,,,,Elevated CO2,,
150,Banfai and Bowman 2006,Australia,KNP 23,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,31,1964,2004,40,0.775,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.44,132.85,,,,Increased rainfall,,
150,Banfai and Bowman 2006,Australia,KNP 23,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,31,1964,2004,40,0.775,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.44,132.85,,,,Fire suppression,,
150,Banfai and Bowman 2006,Australia,KNP 23,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,31,1964,2004,40,0.775,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.44,132.85,,,,Elevated CO2,,
151,Banfai and Bowman 2006,Australia,KNP 24,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.62,132.43,,,,Increased rainfall,,
151,Banfai and Bowman 2006,Australia,KNP 24,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.62,132.43,,,,Fire suppression,,
151,Banfai and Bowman 2006,Australia,KNP 24,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.62,132.43,,,,Elevated CO2,,
152,Banfai and Bowman 2006,Australia,KNP 25,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-8,1964,2004,40,-0.2,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.63,132.62,,,,Increased rainfall,,
152,Banfai and Bowman 2006,Australia,KNP 25,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-8,1964,2004,40,-0.2,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.63,132.62,,,,Fire suppression,,
152,Banfai and Bowman 2006,Australia,KNP 25,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-8,1964,2004,40,-0.2,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.63,132.62,,,,Elevated CO2,,
153,Banfai and Bowman 2006,Australia,KNP 26,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-5,1964,2004,40,-0.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.68,132.54,,,,Increased rainfall,,
153,Banfai and Bowman 2006,Australia,KNP 26,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-5,1964,2004,40,-0.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.68,132.54,,,,Fire suppression,,
153,Banfai and Bowman 2006,Australia,KNP 26,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-5,1964,2004,40,-0.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.68,132.54,,,,Elevated CO2,,
154,Banfai and Bowman 2006,Australia,KNP 27,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,24,1964,2004,40,0.6,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.73,132.74,,,,Increased rainfall,,
154,Banfai and Bowman 2006,Australia,KNP 27,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,24,1964,2004,40,0.6,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.73,132.74,,,,Fire suppression,,
154,Banfai and Bowman 2006,Australia,KNP 27,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,24,1964,2004,40,0.6,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.73,132.74,,,,Elevated CO2,,
155,Banfai and Bowman 2006,Australia,KNP 28,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,11,1964,2004,40,0.275,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.74,132.6,,,,Increased rainfall,,
155,Banfai and Bowman 2006,Australia,KNP 28,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,11,1964,2004,40,0.275,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.74,132.6,,,,Fire suppression,,
155,Banfai and Bowman 2006,Australia,KNP 28,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,11,1964,2004,40,0.275,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.74,132.6,,,,Elevated CO2,,
156,Banfai and Bowman 2006,Australia,KNP 29,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.78,132.86,,,,Increased rainfall,,
156,Banfai and Bowman 2006,Australia,KNP 29,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.78,132.86,,,,Fire suppression,,
156,Banfai and Bowman 2006,Australia,KNP 29,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.78,132.86,,,,Elevated CO2,,
157,Banfai and Bowman 2006,Australia,KNP 30,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,256,1964,2004,40,6.4,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.78,132.5,,,,Increased rainfall,,
157,Banfai and Bowman 2006,Australia,KNP 30,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,256,1964,2004,40,6.4,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.78,132.5,,,,Fire suppression,,
157,Banfai and Bowman 2006,Australia,KNP 30,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,256,1964,2004,40,6.4,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.78,132.5,,,,Elevated CO2,,
158,Banfai and Bowman 2006,Australia,KNP 31,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,43,1964,2004,40,1.075,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.8,132.55,,,,Increased rainfall,,
158,Banfai and Bowman 2006,Australia,KNP 31,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,43,1964,2004,40,1.075,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.8,132.55,,,,Fire suppression,,
158,Banfai and Bowman 2006,Australia,KNP 31,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,43,1964,2004,40,1.075,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.8,132.55,,,,Elevated CO2,,
159,Banfai and Bowman 2006,Australia,KNP 32,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,25,1964,2004,40,0.625,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.9,132.54,,,,Increased rainfall,,
159,Banfai and Bowman 2006,Australia,KNP 32,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,25,1964,2004,40,0.625,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.9,132.54,,,,Fire suppression,,
159,Banfai and Bowman 2006,Australia,KNP 32,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,25,1964,2004,40,0.625,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.9,132.54,,,,Elevated CO2,,
160,Banfai and Bowman 2006,Australia,KNP 33,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,352,1964,2004,40,8.8,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.92,132.53,,,,Increased rainfall,,
160,Banfai and Bowman 2006,Australia,KNP 33,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,352,1964,2004,40,8.8,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.92,132.53,,,,Fire suppression,,
160,Banfai and Bowman 2006,Australia,KNP 33,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,352,1964,2004,40,8.8,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-12.92,132.53,,,,Elevated CO2,,
161,Banfai and Bowman 2006,Australia,KNP 34,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,27,1964,2004,40,0.675,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.03,132.38,,,,Increased rainfall,,
161,Banfai and Bowman 2006,Australia,KNP 34,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,27,1964,2004,40,0.675,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.03,132.38,,,,Fire suppression,,
161,Banfai and Bowman 2006,Australia,KNP 34,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,27,1964,2004,40,0.675,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.03,132.38,,,,Elevated CO2,,
162,Banfai and Bowman 2006,Australia,KNP 35,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,35,1964,2004,40,0.875,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.03,132.24,,,,Increased rainfall,,
162,Banfai and Bowman 2006,Australia,KNP 35,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,35,1964,2004,40,0.875,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.03,132.24,,,,Fire suppression,,
162,Banfai and Bowman 2006,Australia,KNP 35,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,35,1964,2004,40,0.875,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.03,132.24,,,,Elevated CO2,,
163,Banfai and Bowman 2006,Australia,KNP 36,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,3,1964,2004,40,0.075,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.04,132.24,,,,Increased rainfall,,
163,Banfai and Bowman 2006,Australia,KNP 36,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,3,1964,2004,40,0.075,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.04,132.24,,,,Fire suppression,,
163,Banfai and Bowman 2006,Australia,KNP 36,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,3,1964,2004,40,0.075,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.04,132.24,,,,Elevated CO2,,
164,Banfai and Bowman 2006,Australia,KNP 37,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-2,1964,2004,40,-0.05,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.05,132.24,,,,Increased rainfall,,
164,Banfai and Bowman 2006,Australia,KNP 37,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-2,1964,2004,40,-0.05,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.05,132.24,,,,Fire suppression,,
164,Banfai and Bowman 2006,Australia,KNP 37,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-2,1964,2004,40,-0.05,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.05,132.24,,,,Elevated CO2,,
165,Banfai and Bowman 2006,Australia,KNP 38,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-24,1964,2004,40,-0.6,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.3,132.85,,,,Increased rainfall,,
165,Banfai and Bowman 2006,Australia,KNP 38,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-24,1964,2004,40,-0.6,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.3,132.85,,,,Fire suppression,,
165,Banfai and Bowman 2006,Australia,KNP 38,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-24,1964,2004,40,-0.6,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.3,132.85,,,,Elevated CO2,,
166,Banfai and Bowman 2006,Australia,KNP 39,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,85,1964,2004,40,2.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.24,132.31,,,,Increased rainfall,,
166,Banfai and Bowman 2006,Australia,KNP 39,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,85,1964,2004,40,2.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.24,132.31,,,,Fire suppression,,
166,Banfai and Bowman 2006,Australia,KNP 39,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,85,1964,2004,40,2.125,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.24,132.31,,,,Elevated CO2,,
167,Banfai and Bowman 2006,Australia,KNP 40,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,19,1964,2004,40,0.475,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.26,132.31,,,,Increased rainfall,,
167,Banfai and Bowman 2006,Australia,KNP 40,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,19,1964,2004,40,0.475,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.26,132.31,,,,Fire suppression,,
167,Banfai and Bowman 2006,Australia,KNP 40,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,19,1964,2004,40,0.475,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.26,132.31,,,,Elevated CO2,,
168,Banfai and Bowman 2006,Australia,KNP 41,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-4,1964,2004,40,-0.1,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.29,132.33,,,,Increased rainfall,,
168,Banfai and Bowman 2006,Australia,KNP 41,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-4,1964,2004,40,-0.1,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.29,132.33,,,,Fire suppression,,
168,Banfai and Bowman 2006,Australia,KNP 41,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,-4,1964,2004,40,-0.1,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.29,132.33,,,,Elevated CO2,,
169,Banfai and Bowman 2006,Australia,KNP 42,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.31,132.34,,,,Increased rainfall,,
169,Banfai and Bowman 2006,Australia,KNP 42,Australia,mix savanna/rainforest,forest - savanna,Savanna,unknown,aerial photo/proportion area covered,not reported,not reported,9,1964,2004,40,0.225,Conservation,rainforest species,boundary change/conversion savanna - forest,Group,-13.31,132.34,,,,Fire suppression,,
